"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"133","Fairfax","7,071","14",0,1,"2","11","129","32","83","14","3"
"134","Fairfield","104,202","502",8,18,"185","291","3,395","757","2,169","469","17"
"135","Farmersville","10,211","68",3,1,"7","57","207","54","129","24","1"
"136","Ferndale","1,383","1",0,0,"0","1","13","3","10","0","0"
"137","Fillmore","15,363","38",2,2,"5","29","277","51","206","20","4"
"138","Firebaugh","7,079","21",0,0,"2","19","176","53","88","35","1"
"139","Folsom","69,497","105",0,9,"32","64","1,484","262","1,159","63","22"
"140","Fontana","192,595","759",6,37,"240","476","3,681","804","2,130","747","13"
"141","Fort Bragg","6,550","44",1,4,"4","35","232","65","156","11","2"
"142","Fort Jones","646","1",0,0,"0","1","16","6","10","0","1"
"143","Fortuna","11,434","40",0,4,"4","32","438","87","324","27","7"
"144","Foster City","29,283","24",0,1,"2","21","416","103","273","40","1"
"145","Fountain Valley","55,879","103",3,5,"28","67","1,292","266","951","75","9"
"146","Fowler","5,769","25",0,1,"4","20","130","25","71","34","0"
"147","Fremont","205,477","488",3,40,"189","256","4,414","1,167","2,757","490","22"
"148","Fresno","484,734","3,034",45,70,"1,021","1,898","24,460","5,262","14,645","4,553","147"
"149","Fullerton","133,139","425",3,26,"145","251","3,847","680","2,825","342","22"
"150","Galt","24,517","50",0,5,"7","38","467","131","300","36","6"
"151","Gardena","58,358","347",2,9,"202","134","1,446","271","835","340","9"
"152","Garden Grove","166,287","539",3,22,"184","330","3,590","810","2,318","462","13"
"153","Gilroy","51,108","205",1,14,"78","112","1,555","237","1,126","192","21"
"154","Glendale","196,877","277",0,17,"119","141","3,717","642","2,747","328","12"
"155","Glendora","49,720","62",0,9,"24","29","1,249","228","946","75","9"
"156","Goleta","29,605","57",0,5,"11","41","407","121","277","9","1"
"157","Gonzales","8,830","35",1,0,"6","28","153","44","93","16","0"
"158","Grand Terrace","12,233","20",0,1,"6","13","278","83","157","38","2"
"159","Grass Valley","12,330","111",0,8,"15","88","500","111","370","19","3"
"160","Greenfield","15,626","104",3,3,"41","57","344","85","229","30","7"
"161","Gridley","6,528","48",0,3,"3","42","236","76","141","19","1"
"162","Grover Beach","13,199","32",0,6,"5","21","317","82","213","22","5"
"163","Guadalupe","6,692","12",0,2,"0","10","67","18","45","4","1"
"164","Gustine","5,130","8",0,0,"1","7","175","69","85","21","1"
"165","Half Moon Bay","12,648","11",0,1,"5","5","248","45","193","10","0"
"166","Hanford","50,903","181",0,6,"43","132","1,159","252","707","200","5"
"167","Hawaiian Gardens","15,211","83",3,5,"32","43","237","53","131","53","4"
"168","Hawthorne","83,849","653",9,33,"281","330","2,200","653","1,112","435","21"
"169","Hayward","144,509","652",13,48,"391","200","3,753","1,097","1,649","1,007","55"
"170","Healdsburg","11,146","16",0,1,"2","13","283","50","226","7","0"
"171","Hemet","73,111","369",8,17,"129","215","2,887","875","1,682","330","13"
"172","Hercules","25,192","46",2,3,"12","29","356","74","201","81","4"
