"","City","Population","Violent.crime","Murder.and.nonnegligent.manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny.theft","Motor.vehicle.theft","Arson1"
"222","Lindsay","10,864","69",0,"0","10","59","546","162","250","134","3"
"223","Livermore","79,115","147",1,"16","57","73","1,703","395","1,083","225","23"
"224","Livingston","12,698","79",2,"9","7","61","291","118","116","57","1"
"225","Lodi","62,693","245",2,"10","54","179","2,881","555","1,854","472","2"
"226","Loma Linda","21,089","21",1,"5","6","9","575","122","276","177","4"
"227","Lomita","20,700","93",0,"4","49","40","351","105","178","68","6"
"228","Lompoc","40,345","235",3,"18","42","172","1,043","189","779","75","4"
"229","Long Beach","478,283","3,420",41,"134","1,440","1,805","12,778","2,896","6,598","3,284","103"
"230","Los Altos","27,340","4",0,"0","2","2","421","172","230","19","3"
"231","Los Altos Hills","8,238","0",0,"0","0","0","152","47","103","2","7"
"232","Los Angeles","3,879,455","30,526",480,"1,059","14,353","14,634","105,459","20,359","59,711","25,389","2,356"
"233","Los Banos","33,808","265",0,"7","42","216","1,046","290","615","141","7"
"234","Los Gatos","28,281","35",0,"3","12","20","557","145","379","33","14"
"235","Lynwood","71,849","693",18,"23","258","394","1,628","301","483","844","41"
"236","Madera","52,617","435",0,"29","97","309","1,225","318","649","258","0"
"237","Malibu","13,327","20",0,"2","7","11","270","74","167","29","2"
"238","Mammoth Lakes","7,220","26",0,"7","1","18","309","87","208","14","0"
"239","Manhattan Beach","36,810","47",0,"7","24","16","900","205","635","60","7"
"240","Manteca","63,215","231",1,"14","73","143","2,793","434","1,803","556","19"
"241","Marina","19,177","65",0,"3","14","48","514","145","323","46","6"
"242","Martinez","36,239","98",0,"12","23","63","1,273","222","830","221","0"
"243","Marysville","12,240","134",0,"14","32","88","574","171","285","118","1"
"244","Maywood","28,858","144",4,"7","44","89","328","56","120","152","7"
"245","Menlo Park","29,928","75",0,"7","27","41","728","150","498","80","3"
"246","Merced","74,431","603",9,"22","165","407","3,876","819","2,611","446","62"
"247","Millbrae","20,525","42",2,"4","14","22","384","143","199","42","11"
"248","Mill Valley","13,406","13",0,"1","6","6","265","71","177","17","1"
"249","Milpitas","63,954","182",0,"15","52","115","2,143","334","1,523","286","15"
"250","Mission Viejo","95,837","70",0,"1","29","40","1,399","260","1,016","123","29"
"251","Modesto","208,875","1,418",11,"73","462","872","11,804","1,762","8,018","2,024","110"
"252","Monrovia","38,296","154",0,"10","49","95","1,196","193","844","159","2"
"253","Montague","1,518","3",0,"0","0","3","23","11","10","2","0"
"254","Montclair","35,793","255",4,"10","114","127","2,451","278","1,729","444","4"
"255","Montebello","63,860","278",3,"14","122","139","2,007","330","1,011","666","53"
"256","Monterey","29,480","181",0,"19","31","131","1,139","230","819","90","4"
"257","Monterey Park","62,624","164",1,"7","108","48","1,374","313","744","317","2"
"258","Monte Sereno","3,493","2",0,"0","0","2","22","13","6","3","0"
"259","Moorpark","36,167","45",0,"1","10","34","391","86","283","22","6"
"260","Moraga","17,021","15",0,"2","4","9","215","43","153","19","13"
"261","Moreno Valley","179,973","968",16,"61","479","412","6,899","2,239","3,272","1,388","14"
"262","Morgan Hill","35,166","60",0,"5","10","45","988","170","704","114","31"
"263","Morro Bay","10,300","23",0,"4","4","15","167","47","109","11","2"
"264","Mountain View","69,900","300",0,"10","71","219","2,244","271","1,648","325","19"
