"","X","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape1","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"51",51,"Buena Park","82,627","246",1,"15","91","139","2,061","230","1,567","264","1"
"52",52,"Burbank","103,738","189",1,"11","54","123","2,617","299","2,107","211","4"
"53",53,"Burlingame","30,677","74",0,"9","25","40","1,185","162","937","86","4"
"54",54,"Calabasas","24,016","35",1,"6","15","13","331","81","226","24","1"
"55",55,"Calexico","40,327","94",0,"3","21","70","894","244","470","180","56"
"56",56,"California City","14,319","83",0,"13","15","55","281","102","120","59","3"
"57",57,"Calimesa","9,073","22",0,"0","7","15","280","51","193","36","0"
"58",58,"Calistoga","5,341","6",0,"0","0","6","70","7","54","9","0"
"59",59,"Camarillo","69,628","58",0,"22","16","20","817","100","676","41","2"
"60",60,"Campbell","42,697","89",0,"22","21","46","1,357","209","990","158","13"
"61",61,"Canyon Lake","11,353","15",0,"0","1","14","74","15","47","12","0"
"62",62,"Capitola","10,101","30",0,"3","6","21","528","53","454","21","2"
"63",63,"Carlsbad","117,220","240",3,"40","39","158","2,135","297","1,671","167","11"
"64",64,"Carmel","3,877","11",0,"0","0","11","103","20","81","2","0"
"65",65,"Carpinteria","13,514","11",1,"0","3","7","155","19","116","20","0"
"66",66,"Carson","91,947","444",5,"31","122","286","2,004","328","1,277","399","14"
"67",67,"Cathedral City","55,346","144",7,"19","48","70","602","182","227","193","4"
"68",68,"Central Marin","34,793","32",0,"6","10","16","1,094","360","684","50","0"
"69",69,"Ceres","49,134","209",1,"12","59","137","1,158","239","628","291","20"
"70",70,"Cerritos","50,642","127",1,"10","65","51","1,634","314","1,198","122","0"
"71",71,"Chico","95,826","557",0,"100","104","353","2,406","272","1,753","381","48"
"72",72,"Chino","93,348","329",3,"35","96","195","2,224","376","1,649","199","5"
"73",73,"Chino Hills","84,577","95",1,"10","20","64","891","222","606","63","5"
"74",74,"Chowchilla","18,792","39",0,"2","3","34","234","71","109","54","7"
"75",75,"Chula Vista","275,230","904",3,"61","265","575","3,816","486","2,503","827","36"
"76",76,"Citrus Heights","88,496","313",1,"46","76","190","2,248","372","1,607","269","7"
"77",77,"Claremont","36,681","51",0,"6","23","22","774","191","552","31","7"
"78",78,"Clayton","12,356","1",0,"0","1","0","155","14","137","4","0"
"79",79,"Clearlake","15,400","119",1,"19","36","63","460","146","210","104","11"
"80",80,"Cloverdale","8,910","16",0,"1","0","15","116","25","87","4","1"
"81",81,"Clovis","114,170","243",0,"54","32","157","2,276","307","1,810","159","6"
"82",82,"Coachella","46,485","126",0,"9","43","74","894","135","580","179","5"
"83",83,"Coalinga","16,356","41",0,"2","4","35","217","38","159","20","4"
"84",84,"Colma","1,512","28",0,"0","20","8","325","36","263","26","2"
"85",85,"Colton","55,059","215",1,"9","103","102","1,517","317","836","364","8"
"86",86,"Colusa","5,903","6",0,"4","1","1","78","28","34","16","0"
"87",87,"Commerce","12,804","138",1,"5","49","83","1,004","128","624","252","16"
"88",88,"Compton","96,638","1,104",18,"40","427","619","2,346","334","1,285","727","44"
"89",89,"Concord","130,615","541",2,"67","234","238","4,560","434","3,512","614","23"
"90",90,"Corcoran","21,353","118",1,"8","12","97","272","65","157","50","5"
"91",91,"Corning","7,537","28",0,"6","4","18","211","51","127","33","1"
"92",92,"Corona","170,875","291",4,"43","103","141","3,482","646","2,251","585","28"
"93",93,"Coronado","21,115","9",0,"1","7","1","324","34","276","14","2"
"94",94,"Costa Mesa","114,047","312",0,"52","104","156","3,739","450","2,934","355","16"
"95",95,"Cotati","7,641","40",1,"6","5","28","95","15","68","12","1"
"96",96,"Covina","47,985","171",2,"25","43","101","1,189","239","779","171","11"
